mass,intensity,assign,C,O,H,N,numbers,O/C,H/C,volume,color
170.83273,584596,False,,,,,1,,,0.45664908980058766,blue
170.87719,856697,False,,,,,1,,,0.6691970271519032,blue
170.88068,627165,False,,,,,1,,,0.4899012761031303,blue
170.8871,596437,False,,,,,1,,,0.4658985233792108,blue
170.90688,572348,False,,,,,1,,,0.44708173379425575,blue
170.90876,637062,False,,,,,1,,,0.49763218093613704,blue
170.91272,683272,False,,,,,1,,,0.5337284840919663,blue
170.91656,623196,False,,,,,1,,,0.48680094658083023,blue
170.91701,571356,False,,,,,1,,,0.44630684669772724,blue
170.94422,999648,False,,,,,1,,,0.780861226079169,blue
170.98865,563223,False,,,,,1,,,0.43995386609685383,blue
171.0299,2115151,True,7.0,5.0,8.0,0.0,1,0.7142857142857143,1.1428571428571428,1.6522209849892964,blue
171.03868,576609,False,,,,,1,,,0.4504101550828727,blue
171.05887,584504,False,,,,,1,,,0.4565772252714741,blue
171.06629,1277678,True,8.0,4.0,12.0,0.0,1,0.5,1.5,0.9980405198773773,blue
171.08054,559886,False,,,,,1,,,0.4373472146441163,blue
171.08259,642374,False,,,,,1,,,0.5017815763562574,blue
171.0966,680974,False,,,,,1,,,0.5319334331365,blue
171.1027,724365,True,9.0,3.0,16.0,0.0,1,0.3333333333333333,1.7777777777777777,0.5658277133839483,blue
171.11547,575239,False,,,,,1,,,0.44933999850802986,blue
171.13905,1141341,True,10.0,2.0,20.0,0.0,1,0.2,2.0,0.8915427556844256,blue
171.14369,595621,False,,,,,1,,,0.4652611162514212,blue
171.15587,596277,False,,,,,1,,,0.4657735415894481,blue
171.21711,598062,False,,,,,1,,,0.4671678696814878,blue
171.22507,566732,False,,,,,1,,,0.4426948729735863,blue
171.23015,590112,False,,,,,1,,,0.46095783700265547,blue
171.26685,613265,False,,,,,1,,,0.4790434831174989,blue
171.30208,578965,False,,,,,1,,,0.4522505119371279,blue
171.31129,640793,False,,,,,1,,,0.5005466000461651,blue
171.35433,564758,False,,,,,1,,,0.4411529101423894,blue
171.43047,632169,False,,,,,1,,,0.4938100815779576,blue
171.48025,573977,False,,,,,1,,,0.4483542046412769,blue
171.48045,578501,False,,,,,1,,,0.4518880647468162,blue
171.49322,652013,False,,,,,1,,,0.5093109480532719,blue
171.51975,622313,False,,,,,1,,,0.4861112033285775,blue
171.52055,573711,False,,,,,1,,,0.44814642241579644,blue
171.53138,602920,False,,,,,1,,,0.4709626292731567,blue
171.54016,604240,False,,,,,1,,,0.4719937290386987,blue
171.60286,587560,False,,,,,1,,,0.458964377455941,blue
171.64438,577391,False,,,,,1,,,0.4510210035803377,blue
171.66188,628599,False,,,,,1,,,0.49102142539387816,blue
171.66979,609445,False,,,,,1,,,0.4760595428869153,blue
171.70794,600963,False,,,,,1,,,0.4694339457571221,blue
171.71832,625144,False,,,,,1,,,0.48832259987119064,blue
171.71962,605047,False,,,,,1,,,0.4726241059408141,blue
171.73197,612759,False,,,,,1,,,0.47864822820737446,blue
171.75692,634891,False,,,,,1,,,0.4959363342762949,blue
171.7631,574221,False,,,,,1,,,0.4485448018706649,blue
171.76764,710499,False,,,,,1,,,0.5549964790286416,blue
171.76939,569785,False,,,,,1,,,0.4450796817494951,blue
171.77474,565978,False,,,,,1,,,0.4421058962893297,blue
171.79741,571326,False,,,,,1,,,0.44628341261214677,blue
171.81109,596128,False,,,,,1,,,0.46565715229773164,blue
171.81399,596274,False,,,,,1,,,0.46577119818089,blue
171.81568,627590,False,,,,,1,,,0.49023325898218734,blue
171.84733,579036,False,,,,,1,,,0.4523059726063351,blue
171.85341,564536,False,,,,,1,,,0.4409794979090937,blue
171.85657,626750,False,,,,,1,,,0.4895771045859334,blue
171.87653,624278,False,,,,,1,,,0.4876461359341002,blue
171.87675,632574,False,,,,,1,,,0.49412644173329434,blue
171.89558,611178,False,,,,,1,,,0.4774132518972822,blue
171.9092,562044,False,,,,,1,,,0.4390329065335402,blue
171.9651,652743,False,,,,,1,,,0.509881177469064,blue
171.98306,698279,False,,,,,1,,,0.5454509948355181,blue
172.02013,696361,False,,,,,1,,,0.5439527756307382,blue
172.02491,597779,False,,,,,1,,,0.4669468081408451,blue
172.07318,639645,False,,,,,1,,,0.49964985570461806,blue
172.08398,651965,False,,,,,1,,,0.5092734535163431,blue
172.08843,594578,False,,,,,1,,,0.46444639120940584,blue
172.0986,566499,False,,,,,1,,,0.4425128682422444,blue
172.18175,574283,False,,,,,1,,,0.44859323231419795,blue
172.19092,579489,False,,,,,1,,,0.45265982729860066,blue
172.23028,559109,False,,,,,1,,,0.43674027182758135,blue
172.24549,565269,False,,,,,1,,,0.44155207073344394,blue
