mass,intensity,assign,C,C_13,H,O,N,calc_mass,abs_error,rel_error,DBE,DBE-O,DBE_AI,CAI,AI,DBE-OC,H/C,O/C,class,CRAM,NOSC,brutto,Ke,KMD
326.05178,2749864,True,13.0,0.0,13.0,9.0,1.0,327.059034,2.2420000010958674e-05,0.06876208438720584,8.0,-1.0,-2.0,3.0,-0.6666666666666666,-0.07692307692307693,1.0,0.6923076923076923,unsat_highOC,True,0.6153846153846154,C13H13O9N,326.69383696082593,0.3061630391740664
326.05988,4620203,True,13.0,1.0,14.0,9.0,0.0,327.06714,1.6420000026107218e-05,0.05035884827690919,8.0,-1.0,-1.0,5.0,-0.2,-0.07142857142857142,1.0,0.6428571428571429,unsat_highOC,True,0.2857142857142856,C13(C_13)H14O9,326.7019339095939,0.29806609040610965
326.06699,1165740,True,17.0,0.0,13.0,6.0,1.0,327.074289,-2.2580000045957505e-05,-0.06924957367183199,12.0,6.0,5.0,10.0,0.5,0.35294117647058826,0.7647058823529411,0.35294117647058826,undefinded,False,0.11764705882352944,C17H13O6N,326.70907492695665,0.29092507304335413
326.08811,5096370,True,14.0,0.0,17.0,8.0,1.0,327.095419,-3.258000002070993e-05,-0.0999116466427124,7.0,-1.0,-2.0,5.0,-0.4,-0.07142857142857142,1.2142857142857142,0.5714285714285714,unsat_highOC,True,0.1428571428571428,C14H17O8N,326.73018133300985,0.26981866699014745
326.09625,14825396,True,14.0,1.0,18.0,8.0,0.0,327.103525,1.4200000071351582e-06,0.004354542584084172,7.0,-1.0,-1.0,7.0,-0.14285714285714285,-0.06666666666666667,1.2,0.5333333333333333,unsat_highOC,True,-0.13333333333333375,C14(C_13)H18O8,326.73827828177787,0.26172171822213386
326.10331,1052598,True,18.0,0.0,17.0,5.0,1.0,327.110674,-8.757999999553512e-05,-0.2685651979292547,11.0,6.0,5.0,12.0,0.4166666666666667,0.3333333333333333,0.9444444444444444,0.2777777777777778,unsat_lowOC,False,-0.22222222222222232,C18H17O5N,326.7454192991406,0.25458070085937834
326.11152,868025,True,18.0,1.0,18.0,5.0,0.0,327.11878,1.64199999692638e-05,0.050350873741791764,11.0,6.0,6.0,14.0,0.42857142857142855,0.3157894736842105,0.9473684210526315,0.2631578947368421,unsat_lowOC,False,-0.4210526315789478,C18(C_13)H18O5,326.75351624790864,0.24648375209136475
326.12449,3556796,True,15.0,0.0,21.0,7.0,1.0,327.131804,-3.7580000008086145e-05,-0.1152320698396068,6.0,-1.0,-2.0,7.0,-0.2857142857142857,-0.06666666666666667,1.4,0.4666666666666667,unsat_lowOC,True,-0.2666666666666666,C15H21O7N,326.76652570519377,0.2334742948062285
326.13262,19840958,True,15.0,1.0,22.0,7.0,0.0,327.13991,-1.3580000011836901e-05,-0.041639502395795,6.0,-1.0,-1.0,9.0,-0.1111111111111111,-0.0625,1.375,0.4375,unsat_lowOC,True,-0.5,C15(C_13)H22O7,326.7746226539618,0.2253773460382149
326.16899,5418952,True,16.0,1.0,26.0,6.0,0.0,327.176295,-2.8579999973965542e-05,-0.08762328992086446,5.0,-1.0,-1.0,11.0,-0.09090909090909091,-0.058823529411764705,1.5294117647058822,0.35294117647058826,aliphatics,False,-0.8235294117647056,C16(C_13)H26O6,326.8109670261457,0.18903297385429596
326.20527,868690,True,17.0,1.0,30.0,5.0,0.0,327.21268,-0.00013357999999308312,-0.40949675642298217,4.0,-1.0,-1.0,13.0,-0.07692307692307693,-0.05555555555555555,1.6666666666666667,0.2777777777777778,lipids,False,-1.1111111111111107,C17(C_13)H30O5,326.8473113983297,0.15268860167032017
326.27005,846564,True,19.0,0.0,37.0,3.0,1.0,327.277344,-1.7580000001737872e-05,-0.053881746123304514,2.0,-1.0,-2.0,15.0,-0.13333333333333333,-0.05263157894736842,1.9473684210526316,0.15789473684210525,N-satureted,False,-1.473684210526316,C19H37O3N,326.9119031939296,0.08809680607038217
326.99939,2342570,True,12.0,0.0,8.0,11.0,0.0,328.006665,1.4200000071351582e-06,0.004342515767797482,9.0,-2.0,-2.0,1.0,-2.0,-0.16666666666666666,0.6666666666666666,0.9166666666666666,unsat_highOC,False,1.1666666666666665,C12H8O11,327.6404098275856,0.35959017241441416
327.00575,1112747,True,14.0,2.0,6.0,8.0,0.0,328.01298,4.64199999503645e-05,0.1419546902473871,14.0,6.0,6.0,8.0,0.75,0.375,0.375,0.5,condensed_lowOC,False,0.625,C14(C_13)2H6O8,327.6467177762002,0.3532822237997948
327.01461,3376814,True,16.0,0.0,8.0,8.0,0.0,328.02192,-3.3580000018185174e-05,-0.10268654363236301,13.0,5.0,5.0,8.0,0.625,0.3125,0.5,0.5,aromatic_lowOC,False,0.5,C16H8O8,327.6556477937163,0.3443522062837019
327.03576,15046835,True,13.0,0.0,12.0,10.0,0.0,328.04305,-1.3580000011836901e-05,-0.04152451099487378,8.0,-2.0,-2.0,3.0,-0.6666666666666666,-0.15384615384615385,0.9230769230769231,0.7692307692307693,unsat_highOC,True,0.6153846153846154,C13H12O10,327.6767541997695,0.3232458002304952
327.05103,6882488,True,17.0,0.0,12.0,7.0,0.0,328.058305,1.4200000071351582e-06,0.004341830102584169,12.0,5.0,5.0,10.0,0.5,0.29411764705882354,0.7058823529411765,0.4117647058823529,undefinded,False,0.11764705882352944,C17H12O7,327.6919921659003,0.3080078340997261
327.07213,39317692,True,14.0,0.0,16.0,9.0,0.0,328.079435,-2.8579999973965542e-05,-0.08738133687503592,7.0,-2.0,-2.0,5.0,-0.4,-0.14285714285714285,1.1428571428571428,0.6428571428571429,unsat_highOC,True,0.1428571428571428,C14H16O9,327.7130985719534,0.28690142804657626
327.08741,9691329,True,18.0,0.0,16.0,6.0,0.0,328.09469,-3.5800000370844742e-06,-0.010945086627102139,11.0,5.0,5.0,12.0,0.4166666666666667,0.2777777777777778,0.8888888888888888,0.3333333333333333,unsat_lowOC,False,-0.22222222222222232,C18H16O6,327.72833653808425,0.2716634619157503
327.09955,1916357,True,13.0,2.0,18.0,8.0,0.0,328.10688,-5.357999996769003e-05,-0.16380334356219697,7.0,-1.0,-1.0,7.0,-0.14285714285714285,-0.06666666666666667,1.2,0.5333333333333333,unsat_highOC,True,-0.13333333333333375,C13(C_13)2H18O8,327.7405129266213,0.25948707337869337
327.10849,88879304,True,15.0,0.0,20.0,8.0,0.0,328.11582,-5.357999996769003e-05,-0.1637988667542381,6.0,-2.0,-2.0,7.0,-0.2857142857142857,-0.13333333333333333,1.3333333333333333,0.5333333333333333,unsat_highOC,False,-0.2666666666666666,C15H20O8,327.7494429441374,0.25055705586260046
327.12379,9629899,True,19.0,0.0,20.0,5.0,0.0,328.131075,-8.580000024460688e-06,-0.026228603014353338,10.0,5.0,5.0,14.0,0.35714285714285715,0.2631578947368421,1.0526315789473684,0.2631578947368421,unsat_lowOC,False,-0.5263157894736841,C19H20O5,327.7646809102681,0.2353190897318882
327.14487,44953808,True,16.0,0.0,24.0,7.0,0.0,328.152205,-5.857999995506624e-05,-0.17906440029173082,5.0,-2.0,-2.0,9.0,-0.2222222222222222,-0.125,1.5,0.4375,aliphatics,False,-0.625,C16H24O7,327.7857873163214,0.21421268367862467
327.16016,4907221,True,20.0,0.0,24.0,4.0,0.0,328.16746,-2.357999998658933e-05,-0.07207479048362529,9.0,5.0,5.0,16.0,0.3125,0.25,1.2,0.2,unsat_lowOC,False,-0.7999999999999998,C20H24O4,327.8010252824521,0.1989747175479124
327.18127,6461659,True,17.0,0.0,28.0,6.0,0.0,328.18859,-4.35799999929376e-05,-0.13319833373388887,4.0,-2.0,-2.0,11.0,-0.18181818181818182,-0.11764705882352941,1.6470588235294117,0.35294117647058826,aliphatics,False,-0.9411764705882355,C17H28O6,327.82213168850535,0.17786831149464888
327.21764,2889957,True,18.0,0.0,32.0,5.0,0.0,328.224975,-5.857999995506624e-05,-0.17902457812196873,3.0,-2.0,-2.0,13.0,-0.15384615384615385,-0.1111111111111111,1.7777777777777777,0.2777777777777778,lipids,False,-1.2222222222222223,C18H32O5,327.8584760606892,0.14152393931078677
327.25405,3088622,True,19.0,0.0,36.0,4.0,0.0,328.26136,-3.3580000018185174e-05,-0.10261141158737432,2.0,-2.0,-2.0,15.0,-0.13333333333333333,-0.10526315789473684,1.894736842105263,0.21052631578947367,lipids,False,-1.473684210526316,C19H36O4,327.89482043287325,0.10517956712675414
328.00986,965304,True,15.0,0.0,7.0,8.0,1.0,329.017169,-3.258000002070993e-05,-0.099326282510867,13.0,5.0,4.0,6.0,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.5333333333333333,aromatic_highOC,False,0.7999999999999998,C15H7O8N,328.6497854897917,0.350214510208275
328.03905,1682624,True,12.0,1.0,12.0,10.0,0.0,329.046405,-7.858000001825793e-05,-0.23954465182806112,8.0,-2.0,-2.0,3.0,-0.6666666666666666,-0.15384615384615385,0.9230769230769231,0.7692307692307693,unsat_highOC,True,0.6153846153846154,C12(C_13)H12O10,328.67898884461295,0.3210111553870547
328.04621,1929154,True,16.0,0.0,11.0,7.0,1.0,329.053554,-6.758000004603026e-05,-0.2060075623066344,12.0,5.0,4.0,8.0,0.5,0.3125,0.6875,0.4375,undefinded,False,0.375,C16H11O7N,328.6861298619757,0.3138701380242992
328.05429,1237956,True,16.0,1.0,12.0,7.0,0.0,329.06166,-9.358000003723e-05,-0.28525766280096504,12.0,5.0,5.0,10.0,0.5,0.29411764705882354,0.7058823529411765,0.4117647058823529,undefinded,False,0.11764705882352944,C16(C_13)H12O7,328.6942268107437,0.3057731892562856
328.0674,2168775,True,13.0,0.0,15.0,9.0,1.0,329.074684,-7.579999970142026e-06,-0.023105008209111988,7.0,-2.0,-3.0,3.0,-1.0,-0.15384615384615385,1.1538461538461537,0.6923076923076923,unsat_highOC,True,0.4615384615384617,C13H15O9N,328.7072362680289,0.2927637319710925
328.07552,5695946,True,13.0,1.0,16.0,9.0,0.0,329.08279,6.419999994511372e-06,0.019568665149144234,7.0,-2.0,-2.0,5.0,-0.4,-0.14285714285714285,1.1428571428571428,0.6428571428571429,unsat_highOC,True,0.1428571428571428,C13(C_13)H16O9,328.7153332167969,0.2846667832030789
328.08263,1972683,True,17.0,0.0,15.0,6.0,1.0,329.089939,-3.258000002070993e-05,-0.09930425155610931,11.0,5.0,4.0,10.0,0.4,0.29411764705882354,0.8823529411764706,0.35294117647058826,unsat_lowOC,False,0.0,C17H15O6N,328.7224742341597,0.2775257658403234
328.09074,1577549,True,17.0,1.0,16.0,6.0,0.0,329.098045,-2.858000003080896e-05,-0.08711004775937584,11.0,5.0,5.0,12.0,0.4166666666666667,0.2777777777777778,0.8888888888888888,0.3333333333333333,unsat_lowOC,False,-0.22222222222222232,C17(C_13)H16O6,328.73057118292763,0.26942881707236666
328.10376,2753489,True,14.0,0.0,19.0,8.0,1.0,329.111069,-3.257999996386651e-05,-0.09929785615339035,6.0,-2.0,-3.0,5.0,-0.6,-0.14285714285714285,1.3571428571428572,0.5714285714285714,unsat_highOC,False,0.0,C14H19O8N,328.7435806402129,0.2564193597871167
