,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
1690,1690,514.126256037,0.0085167377159681,-0.2461204782725322,18.0,O9,H22_C29_O9,0,29,22,9,0,0,True
1691,1691,514.162716037,0.0070278337654896,-0.1012228198154853,17.0,O8,H26_C30_O8,0,30,26,8,0,0,True
1692,1692,514.220386037,0.0049924534278126,0.2003401708510874,11.0,O9,H34_C28_O9,0,28,34,9,0,0,True
1693,1693,514.256626037,0.0051052450718822,-0.0826221730570891,10.0,O8,H38_C29_O8,0,29,38,8,0,0,True
1694,1694,514.292836037,0.007336344122597,-0.4238771856436922,9.0,O7,H42_C30_O7,0,30,42,7,0,0,True
1695,1695,515.049056037,0.0071538067867478,0.379587143742266,20.0,N1O11,H13_C26_N_O11,0,26,13,11,1,0,True
1696,1696,515.063896037,0.0059939624675974,-0.4282458968274331,24.0,N1O8,H13_C30_N_O8,0,30,13,8,1,0,True
1697,1697,515.085326037,0.0068846248322979,0.1553101903757154,19.0,N1O10,H17_C27_N_O10,0,27,17,10,1,0,True
1698,1698,515.121706037,0.0059462410903632,0.1446066028697935,18.0,N1O9,H21_C28_N_O9,0,28,21,9,1,0,True
1699,1699,516.032966037,0.0087780044160652,0.1742388683056807,20.0,O12,H12_C26_O12,0,26,12,12,0,0,True
1700,1700,516.048096037,0.0101214340363267,-0.0700845526604037,24.0,O9,H12_C30_O9,0,30,12,9,0,0,True
1701,1701,516.069246037,0.0096148499661784,-0.0302188129906699,19.0,O11,H16_C27_O11,0,27,16,11,0,0,True
1702,1702,516.084366037,0.0075763671253955,-0.2938957464424012,23.0,O8,H16_C31_O8,0,31,16,8,0,0,True
1703,1703,516.1054160369999,0.0081468887638665,-0.4477825514938007,18.0,O10,H20_C28_O10,0,28,20,10,0,0,True
1704,1704,516.142036037,0.0055843697251207,0.0065660222349433,17.0,O9,H24_C29_O9,0,29,24,9,0,0,True
1705,1705,516.178216037,0.0073452323484152,-0.3915682486609,16.0,O8,H28_C30_O8,0,30,28,8,0,0,True
1706,1706,516.214856037,0.0054992878019314,0.1014558170969424,15.0,O7,H32_C31_O7,0,31,32,7,0,0,True
1707,1707,516.272136037,0.0048501809431333,-0.3536177673040435,9.0,O8,H40_C29_O8,0,29,40,8,0,0,True
1708,1708,517.028286037,0.0052012025565003,0.3112789076743742,20.0,N1O12,H11_C25_N_O12,0,25,11,12,1,0,True
1709,1709,517.043316037,0.005191268313311,-0.1259855761407343,24.0,N1O9,H11_C29_N_O9,0,29,11,9,1,0,True
1710,1710,517.064616037,0.0059981557895633,0.20390488281571,19.0,N1O11,H15_C26_N_O11,0,26,15,11,1,0,True
1711,1711,517.079796037,0.0075939069082971,0.0567649331777279,23.0,N1O8,H15_C30_N_O8,0,30,15,8,1,0,True
1712,1712,517.1372060369999,0.0050179781021639,-0.146158503234177,17.0,N1O9,H23_C28_N_O9,0,28,23,9,1,0,True
1713,1713,518.048606037,0.0077240708166577,0.1541148824499062,19.0,O12,H14_C26_O12,0,26,14,12,0,0,True
1714,1714,518.063716037,0.0096240045660664,-0.1278626507949606,23.0,O9,H14_C30_O9,0,30,14,9,0,0,True
1715,1715,518.084906037,0.0108507628307147,-0.0109422218153026,18.0,O11,H18_C27_O11,0,27,18,11,0,0,True
1716,1716,518.100256037,0.0053057030032885,0.1703357582576919,22.0,O8,H18_C31_O8,0,31,18,8,0,0,True
1717,1717,518.121366037,0.0061006216643885,0.1328318122040547,17.0,O10,H22_C28_O10,0,28,22,10,0,0,True
1718,1718,518.157816037,0.0065465177350769,0.2572864788387468,16.0,O9,H26_C29_O9,0,29,26,9,0,0,True
1719,1719,518.194166037,0.0048990389146618,0.1887458531666547,15.0,O8,H30_C30_O8,0,30,30,8,0,0,True
1720,1720,518.230496037,0.0049051168209974,0.0816219814129326,14.0,O7,H34_C31_O7,0,31,34,7,0,0,True
1721,1721,518.324296037,0.0051706459931845,-0.1121788047946008,7.0,O7,H46_C30_O7,0,30,46,7,0,0,True
1722,1722,519.059096037,0.013510139279638,0.1248143044738114,23.0,N1O9,H13_C29_N_O9,0,29,13,9,1,0,True
1723,1723,520.027796037,0.0061254864907241,0.0101398427090509,19.0,O13,H12_C25_O13,0,25,12,13,0,0,True
1724,1724,520.042816037,0.0130957956314479,-0.4438230716054792,23.0,O10,H12_C29_O10,0,29,12,10,0,0,True
1725,1725,520.064196037,0.0049916275221043,0.03800492361888,18.0,O12,H16_C26_O12,0,26,16,12,0,0,True
1726,1726,520.079286037,0.0079058358137961,-0.2813321045079857,22.0,O9,H16_C30_O9,0,30,16,9,0,0,True
1727,1727,520.115756037,0.0050795241475306,-0.1188639246022195,21.0,O8,H20_C31_O8,0,31,20,8,0,0,True
