peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S
2745,464.277286037,0.022139294244436676,-0.25399261077656077,6.0,O7,H40_C26_O7,0,26,40,7,0,0
2761,466.293006037,0.018644589352984582,-0.10293313291422763,5.0,O7,H42_C26_O7,0,26,42,7,0,0
2799,470.230366037,0.02287681681812886,-0.18650645793706064,10.0,O7,H34_C27_O7,0,27,34,7,0,0
2818,472.246216037,0.01664142903607907,0.2376408665614591,9.0,O7,H36_C27_O7,0,27,36,7,0,0
2821,472.339886037,0.03698567177366111,-0.2502837543378724,2.0,O7,H48_C26_O7,0,26,48,7,0,0
2837,474.261716037,0.020024928152549613,-0.07980614657090097,8.0,O7,H38_C27_O7,0,27,38,7,0,0
2862,478.293256037,0.020639854945823138,0.4223413093892346,6.0,O7,H42_C27_O7,0,27,42,7,0,0
2892,482.230466037,0.016643516495786242,0.02550440268107388,11.0,O7,H34_C28_O7,0,28,34,7,0,0
2908,484.246156037,0.017481850023301874,0.10784804244551922,10.0,O7,H36_C28_O7,0,28,36,7,0,0
2925,486.355506037,0.03553872237756806,-0.30490659230639106,2.0,O7,H50_C27_O7,0,27,50,7,0,0
2939,488.277516037,0.021323704318614314,0.22953545125852873,8.0,O7,H40_C28_O7,0,28,40,7,0,0
3005,500.371296037,0.020061743902675833,-0.016721582726853902,2.0,O7,H52_C28_O7,0,28,52,7,0,0
725,301.033646037,0.018001627490387976,-0.2774673231979126,6.0,O7S1,H12_C11_13C_O7_S,0,12,12,7,0,1
987,323.11186603699997,0.014989502019495903,-0.3525002080629053,2.0,O7S1,H22_C12_13C_O7_S,0,13,22,7,0,1
1332,349.127526037,0.019656036399471825,-0.2978023565413452,3.0,O7S1,H24_C14_13C_O7_S,0,15,24,7,0,1
1437,357.190056037,0.047273547030952656,-0.48788312281314866,-1.0,O7S1,H32_C14_13C_O7_S,0,15,32,7,0,1
1465,359.111836037,0.015282777971960076,-0.4007024707810265,5.0,O7S1,H22_C15_13C_O7_S,0,16,22,7,0,1
1641,371.205716037,0.05646013558778982,-0.44272216956483174,-1.0,O7S1,H34_C15_13C_O7_S,0,16,34,7,0,1
2255,418.014726037,0.0162036329080741,0.0033180650536268276,17.0,O7S1,H10_C22_O7_S,0,22,10,7,0,1
2400,430.014816037,0.02009987645151268,0.2125205845155043,18.0,O7S1,H10_C23_O7_S,0,23,10,7,0,1
2425,432.030516037,0.02532888413142258,0.3270903206676,17.0,O7S1,H12_C23_O7_S,0,23,12,7,0,1
2473,436.061846037,0.021898477853508874,0.3925245962144905,15.0,O7S1,H16_C23_O7_S,0,23,16,7,0,1
2526,442.014846037,0.024158280418657037,0.27462199770876017,19.0,O7S1,H10_C24_O7_S,0,24,10,7,0,1
2571,446.04623603699997,0.018473751407821662,0.4735809495582821,17.0,O7S1,H14_C24_O7_S,0,24,14,7,0,1
2591,448.061776037,0.021051266554040934,0.22578359828236605,16.0,O7S1,H16_C24_O7_S,0,24,16,7,0,1
2613,450.077426037,0.01602601071886287,0.224608021164969,15.0,O7S1,H18_C24_O7_S,0,24,18,7,0,1
2642,454.014746037,0.015708801798128082,0.0471063996211482,20.0,O7S1,H10_C25_O7_S,0,25,10,7,0,1
2661,456.03056603699997,0.01873623126140821,0.4195179320516377,19.0,O7S1,H12_C25_O7_S,0,25,12,7,0,1
2681,458.046076037,0.020008107110955766,0.11186429203514961,18.0,O7S1,H14_C25_O7_S,0,25,14,7,0,1
2702,460.061746037,0.021304698726164122,0.1546857582085384,17.0,O7S1,H16_C25_O7_S,0,25,16,7,0,1
2723,462.077366037,0.01964957983805196,0.08892666690551158,16.0,O7S1,H18_C25_O7_S,0,25,18,7,0,1
2738,463.999196037,0.015297341644335702,0.26176985009756415,22.0,O7S1,H8_C26_O7_S,0,26,8,7,0,1
2750,466.014766037,0.017628129975921395,0.08881049074692908,21.0,O7S1,H10_C26_O7_S,0,26,10,7,0,1
2764,468.030156037,0.018942816954056467,-0.4672498067722004,20.0,O7S1,H12_C26_O7_S,0,26,12,7,0,1
