m/z	Intensity	Relative
 212.9384	      7.8	    0.11
 212.9757	     10.2	    0.14
 212.9764	      7.0	    0.10
 212.9809	     10.4	    0.15
 212.9857	      8.2	    0.12
 212.9861	      6.1	    0.09
 212.9866	     33.2	    0.47
 213.0034	     31.3	    0.44
 213.0041	    358.9	    5.10
 213.0103	      6.8	    0.10
 213.0120	     12.4	    0.18
 213.0193	     86.9	    1.24
 213.0224	     13.2	    0.19
 213.0227	     39.7	    0.56
 213.0396	     12.6	    0.18
 213.0405	    178.0	    2.53
 213.0531	      5.5	    0.08
 213.0550	      5.0	    0.07
 213.0557	     33.3	    0.47
 213.0646	      8.0	    0.11
 213.0768	     59.5	    0.85
 213.0773	     13.4	    0.19
 213.0807	     10.3	    0.15
 213.0922	     11.1	    0.16
 213.1085	     12.5	    0.18
 213.1132	     11.9	    0.17
 213.1269	     12.5	    0.18
 213.1732	      5.9	    0.08
 213.1747	     12.1	    0.17
 213.1769	     11.2	    0.16
 213.1854	      4.5	    0.06
 213.1860	    137.3	    1.95
 213.1875	      6.8	    0.10
 213.2036	      8.4	    0.12
 213.2745	      6.5	    0.09
 213.2933	     13.6	    0.19
 213.3353	     11.9	    0.17
 213.3471	      7.4	    0.10
 213.4472	     11.4	    0.16
 213.4734	      4.4	    0.06
 213.5061	      4.5	    0.06
 213.5081	      8.7	    0.12
 213.5322	      9.4	    0.13
 213.5781	     18.2	    0.26
 213.5970	      5.6	    0.08
 213.6242	     12.5	    0.18
 213.6525	     10.4	    0.15
 213.6804	      6.6	    0.09
 213.7045	     18.0	    0.26
 213.7708	     17.9	    0.25
 213.8268	      7.8	    0.11
 213.8477	      8.4	    0.12
 213.8829	      9.2	    0.13
 213.9072	      5.3	    0.08
 213.9413	      9.5	    0.13
 213.9590	      8.7	    0.12
 213.9818	     12.4	    0.18
 214.0012	     26.6	    0.38
 214.0035	     10.7	    0.15
 214.0168	      9.0	    0.13
 214.0192	     19.1	    0.27
 214.0196	     22.1	    0.31
 214.0219	      7.0	    0.10
 214.0271	      9.3	    0.13
 214.0349	      6.8	    0.10
 214.0409	     12.4	    0.18
 214.0451	     18.3	    0.26
 214.0541	      7.3	    0.10
 214.0602	     12.0	    0.17
 214.0722	      5.0	    0.07
 214.0802	      9.4	    0.13
 214.1045	      6.1	    0.09
 214.1366	      9.6	    0.14
 214.1870	     14.5	    0.21
 214.1892	      6.6	    0.09
 214.2048	      6.0	    0.08
 214.2399	      5.7	    0.08
 214.2734	      6.7	    0.10
 214.2791	      9.3	    0.13
 214.3337	      7.9	    0.11
 214.3460	      7.1	    0.10
 214.3542	      6.4	    0.09
 214.3893	      6.4	    0.09
 214.3925	     11.4	    0.16
 214.4203	     12.2	    0.17
 214.4321	     10.4	    0.15
 214.4866	      6.8	    0.10
 214.5709	      9.8	    0.14
 214.6084	      8.3	    0.12
 214.6177	     10.6	    0.15
 214.6278	     10.1	    0.14
 214.7119	      4.9	    0.07
 214.7252	      6.2	    0.09
 214.7358	      6.2	    0.09
 214.7493	     11.6	    0.17
 214.7686	     13.2	    0.19
 214.8172	      9.6	    0.14
 214.8277	      4.8	    0.07
 214.8295	      6.4	    0.09
 214.8449	      7.8	    0.11
 214.9018	      9.4	    0.13
 214.9652	     11.7	    0.17
 214.9750	     12.5	    0.18
 214.9796	      7.7	    0.11
 214.9907	     21.7	    0.31
 214.9978	     12.3	    0.17
 215.0014	     25.3	    0.36
 215.0019	    219.2	    3.11
 215.0095	      7.3	    0.10
 215.0100	      5.6	    0.08
 215.0168	     22.4	    0.32
 215.0173	     19.1	    0.27
 215.0184	     12.6	    0.18
 215.0197	    111.4	    1.58
 215.0273	     16.0	    0.23
 215.0275	     22.0	    0.31
 215.0349	    205.3	    2.92
 215.0458	     24.0	    0.34
 215.0555	     21.3	    0.30
 215.0556	     21.9	    0.31
 215.0561	    148.0	    2.10
 215.0593	      5.4	    0.08
 215.0644	      4.0	    0.06
 215.0707	     11.2	    0.16
 215.0714	     37.9	    0.54
 215.0924	     33.7	    0.48
 215.0933	      9.7	    0.14
 215.1289	      9.9	    0.14
 215.1376	      5.2	    0.07
 215.1425	     10.3	    0.15
 215.1650	     20.7	    0.29
 215.1719	     11.3	    0.16
 215.2404	      5.9	    0.08
 215.2588	     13.8	    0.20
 215.2613	      8.0	    0.11
 215.2670	     13.5	    0.19
 215.2966	     11.9	    0.17
 215.3440	      9.4	    0.13
 215.3969	     11.1	    0.16
 215.4578	     10.5	    0.15
 215.4591	      8.4	    0.12
 215.4799	     13.6	    0.19
 215.4864	      6.3	    0.09
 215.5057	      7.5	    0.11
 215.5146	     18.5	    0.26
 215.5288	      8.5	    0.12
 215.5293	     12.5	    0.18
 215.5410	     11.3	    0.16
 215.6120	     10.0	    0.14
 215.6802	      5.8	    0.08
 215.6837	     16.7	    0.24
 215.6994	     12.3	    0.18
 215.7229	     11.4	    0.16
 215.7255	      9.4	    0.13
 215.7405	      6.7	    0.10
 215.8017	      7.1	    0.10
 215.8230	     10.8	    0.15
 215.8373	     12.8	    0.18
 215.8832	     10.5	    0.15
 215.9244	      6.4	    0.09
 215.9892	      5.2	    0.07
 216.0051	      8.1	    0.11
 216.0061	     13.5	    0.19
 216.0167	     11.5	    0.16
 216.0170	     30.6	    0.44
 216.0216	     11.1	    0.16
 216.0231	      6.7	    0.10
 216.0427	      9.9	    0.14
 216.0485	     10.0	    0.14
 216.0513	     12.1	    0.17
 216.0673	     11.2	    0.16
 216.0958	      5.2	    0.07
 216.1004	      5.7	    0.08
 216.1294	      6.1	    0.09
 216.1380	     10.0	    0.14
 216.1420	      6.6	    0.09
 216.1510	      6.1	    0.09
 216.1566	     11.4	    0.16
