Name,m/z,I,I %,Res.,S/N
FA-NaOD,614.05358,6574706,1.8,573941,4.2
FA-NaOD,614.06132,6522508,1.7,180116,4.2
FA-NaOD,614.07438,10077879,2.7,293775,7.7
FA-NaOD,614.07715,10457792,2.8,351196,8.1
FA-NaOD,614.0869,14898400,4.0,237154,12.5
FA-NaOD,614.08972,18676458,5.0,383915,16.3
FA-NaOD,614.10257,8172309,2.2,379904,5.8
FA-NaOD,614.10528,11567389,3.1,232194,9.2
FA-NaOD,614.1102,12546862,3.3,329516,10.2
FA-NaOD,614.1153099999999,11014974,2.9,287128,8.6
FA-NaOD,614.12284,29363032,7.8,231508,26.9
FA-NaOD,614.12603,29064034,7.7,218784,26.6
FA-NaOD,614.13125,7092084,1.9,396997,4.7
FA-NaOD,614.1410900000001,6880916,1.8,234866,4.5
FA-NaOD,614.14414,6850463,1.8,393877,4.5
FA-NaOD,614.1473,8989609,2.4,388697,6.6
FA-NaOD,614.1513,12915638,3.4,394367,10.5
FA-NaOD,614.15666,8930248,2.4,273113,6.6
FA-NaOD,614.1596,26483666,7.0,272428,24.0
FA-NaOD,614.1623900000001,29539290,7.9,312101,27.1
FA-NaOD,614.16617,8115176,2.2,478489,5.8
FA-NaOD,614.1701099999999,6437876,1.7,370289,4.1
FA-NaOD,614.17494,6697988,1.8,360775,4.3
FA-NaOD,614.17756,8950797,2.4,385528,6.6
FA-NaOD,614.18066,8475671,2.3,409779,6.1
FA-NaOD,614.18483,7121958,1.9,191534,4.8
FA-NaOD,614.19576,15336521,4.1,293500,12.9
FA-NaOD,614.19894,15932500,4.2,361038,13.5
FA-NaOD,614.20482,10691687,2.8,369370,8.3
FA-NaOD,614.21175,7031935,1.9,442492,4.7
FA-NaOD,614.21976,10308761,2.7,397742,7.9
FA-NaOD,614.22658,9446575,2.5,320351,7.1
FA-NaOD,614.23547,7349453,2.0,385395,5.0
FA-NaOD,614.73201,6474553,1.7,205330,4.1
FA-NaOD,614.79152,6892542,1.8,377401,4.5
FA-NaOD,614.86403,6358253,1.7,307016,4.0
FA-NaOD,615.06285,16676734,4.4,335558,14.3
FA-NaOD,615.0697700000001,6874005,1.8,365178,4.5
FA-NaOD,615.07828,12947377,3.4,352728,10.6
FA-NaOD,615.08162,8303548,2.2,333399,5.9
FA-NaOD,615.09366,10398692,2.8,307621,8.0
FA-NaOD,615.09914,56031224,14.9,335241,53.5
FA-NaOD,615.11442,23332904,6.2,298210,20.9
FA-NaOD,615.12001,11096123,3.0,344054,8.7
FA-NaOD,615.12954,11999323,3.2,307844,9.6
FA-NaOD,615.13552,71153776,18.9,316425,68.5
