mass	z	intensity	Res.	
231.45543		528841	1083606	
231.49547		541693	771986	
231.49856		518134	1334552	
231.51337		797027	1338868	
231.51689		809383	1447628	
231.55459		514071	1443891	
231.55800		502372	1032237	
231.56387		527426	1249036	
231.62494		516785	1183512	
231.63474		529548	1125074	
231.65385		560578	1343066	
231.66311		495955	1067959	
231.67441		501468	1418190	
231.70049		508727	1144438	
231.71162		566904	1433698	
231.74366		556175	869799	
231.82221		530080	1196483	
231.83842		539326	1348064	
231.87841		542084	1034124	
231.94042		503997	1063083	
231.99926		569972	1434892	
232.00130		1820484	1113964	
232.00492		835500	1093720	
232.00894		1098173	1145651	
232.01945		1016216	841378	
232.02399		507374	1313280	
232.02710		1259319	1236257	
232.03768		607400	1151804	
232.08291		507093	1473981	
232.10769		565940	1239500	
232.12712		1073962	1458060	
232.12999		628655	1247727	
232.14714		514631	1225198	
232.16349		553510	1388276	
232.18574		508033	1293978	
232.22802		702590	1113113	
232.23309		490047	1199439	
232.26359		526962	1228708	
232.28943		539691	1109930	
232.29039		623261	1092285	
232.35537		537337	1363998	
232.36483		539642	1074816	
232.40389		491867	776867	
232.40844		559648	1344231	
232.41285		500698	1223200	
232.46535		492223	994943	
232.48478		525775	1158531	
232.50654		596388	1296092	
232.51101		509816	1185934	
232.51709		587733	1232197	
232.52175		519124	672683	
232.52253		513806	1097072	
232.52480		760342	1032354	
232.52696		496954	989105	
232.59555		556367	760734	
232.68143		497490	1353291	
232.68616		498854	1353522	
232.70125		522192	992724	
232.74881		492286	1529831	
232.75363		551155	1078602	
232.75811		543601	1120965	
232.79389		505506	1009655	
232.79602		567352	1242877	
232.81091		574682	1344719	
232.82673		502702	915039	
232.82912		505151	1077075	
232.84696		525443	1026642	
232.85100		527844	934345	
232.88683		511618	1014840	
232.92283		986389	1288229	
232.92464		3589877	1199933	
232.93486		2839319	1120321	
232.95146		753657	1284452	
232.97129		22529020	1088617	
232.98848		590242	1343658	
232.98982		521026	1302821	
232.99548		532875	1188972	
233.00038		496767	1415638	
233.00208		538756	1521151	
233.00910		3051473	1091236	
233.01675		2631666	990363	
233.02734		1150395	1030682	
233.03496		830380	1047052	
233.04550		4755270	1090917	
233.04887		609038	1259408	
233.06662		1768232	1071901	
233.07528		557229	1292013	
233.08187		1076890	1171735	
233.10275		1088877	1970083	
233.10300		5811725	1084055	
233.11287		540055	775288	
233.11829		624647	1180833	
233.13916		517402	2238672	
233.13940		2274882	1184556	
233.15422		572252	1993154	
233.15466		8402260	1086540	
233.15655		532089	1118277	
233.16852		537668	1106704	
233.17014		508932	974956	
233.17857		569284	1009156	
233.17935		491094	1041149	
233.19672		536814	776469	
233.20160		946683	1330005	
233.24074		579526	920748	
233.24368		567929	998431	
233.27359		523917	1268704	
233.27464		499367	1028874	
233.27494		519009	1448806	
233.36982		628878	1309990	
233.41720		520937	1367099	
233.43997		569012	1103894	
233.46458		528044	1287999	
233.50984		521767	1395549	
233.51439		1576723	749186	
233.51839		906056	939001	
233.51967		572458	1059073	
233.53160		578922	996346	
233.53259		508922	1615946	
233.55677		505025	1397311	
233.60055		539506	945840	
233.70331		547751	1589608	
233.74415		650565	1081788	
233.75344		591715	1237139	
233.76570		492689	1287519	
233.82869		509138	1324756	
233.92065		515896	1292803	
233.95137		606997	1272832	
233.98187		527314	1255171	
233.99031		549123	909724	
233.99759		533872	1056671	
234.00570		562254	1016300	
234.00639		2010242	1206133	
234.01115		577138	1072190	
234.01695		555063	1366998	
234.02460		1592525	1129844	
234.03419		503046	1247449	
234.04894		574888	775099	
234.05822		492256	715751	
234.10638		870737	1262824	
234.11353		576031	1187841	
234.11833		496995	1312199	
234.15802		1281914	1343802	
234.15924		573194	1304420	
234.23364		548130	1134949	
234.24953		506752	1131742	
234.34019		509751	1170366	
234.41508		506948	1053668	
234.43168		498946	1550609	
234.45327		619014	1021397	
234.46405		622156	852417	
234.49339		610445	1120064	
234.50791		710483	1368360	
234.50987		505855	1657374	
234.52224		1002646	1271826	
234.52623		596414	1560120	
234.54530		520709	1362348	
234.56195		609528	908048	
234.58731		567211	933756	
234.66064		504881	1401328	
234.70466		517473	986813	
234.79609		494964	1188424	
234.80875		571335	1402382	
234.82488		532133	1238554	
234.83858		535336	1487082	
234.85925		4158144	1119067	
234.85959		509144	1857739	
234.88191		495175	1100824	
234.88630		553860	1329346	
234.89127		507501	1327126	
234.89556		568206	1399773	
234.90184		528983	1127908	
234.90321		626547	1152878	
