mass,intensity,C,O,H,N,assign,numbers,calculated_mass,abs_error,rel_error
247.061192,1.0,13.0,5.0,12.0,0.0,1.0,1.0,248.068475,-6.580000001088493e-06,-0.026633078015297896
247.097575,1.0,14.0,4.0,16.0,0.0,1.0,1.0,248.10486,-8.579999996038978e-06,-0.034723125049037726
247.133962,1.0,15.0,3.0,20.0,0.0,1.0,1.0,248.141245,-6.580000001088493e-06,-0.026625235754074515
247.170351,1.0,16.0,2.0,24.0,0.0,1.0,1.0,248.17763000000002,-2.580000011187522e-06,-0.010438145193181047
247.170365,1.0,16.0,2.0,24.0,0.0,1.0,1.0,248.17763000000002,1.1419999981887585e-05,0.04620294986370063
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
249.004071,1.0,11.0,7.0,6.0,0.0,1.0,1.0,250.011355,-7.579999998563736e-06,-0.03044126936608894
249.004075,1.0,11.0,7.0,6.0,0.0,1.0,1.0,250.011355,-3.580000008662765e-06,-0.014377274784208912
,,,,,,,,,,
249.040458,1.0,12.0,6.0,10.0,0.0,1.0,1.0,250.04774,-5.58000000361325e-06,-0.022405997998980753
249.076848,1.0,13.0,5.0,14.0,0.0,1.0,1.0,250.08412500000003,-5.800000162370367e-07,-0.0023285986670147545
249.076852,1.0,13.0,5.0,14.0,0.0,1.0,1.0,250.08412500000003,3.419999973663934e-06,0.013730701774181465
249.113227,1.0,14.0,4.0,18.0,0.0,1.0,1.0,250.12051,-6.580000001088493e-06,-0.02641369179922547
249.113235,1.0,14.0,4.0,18.0,0.0,1.0,1.0,250.12051,1.4200000071351582e-06,0.005700219047515312
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
250.035721,1.0,11.0,6.0,9.0,1.0,1.0,1.0,251.042989,8.419999989461857e-06,0.033675188312240624
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
250.983342,1.0,10.0,8.0,4.0,0.0,1.0,1.0,251.99061999999998,-1.57999998529057e-06,-0.006295238451684056
250.983347,1.0,10.0,8.0,4.0,0.0,1.0,1.0,251.99061999999998,3.420000030507353e-06,0.013626402195151828
251.019726,1.0,11.0,7.0,8.0,0.0,1.0,1.0,252.027005,-2.580000011187522e-06,-0.01027807675635628
251.034977,1.0,15.0,4.0,8.0,0.0,1.0,1.0,252.04226,-6.580000001088493e-06,-0.026211486860209497
251.056108,1.0,12.0,6.0,12.0,0.0,1.0,1.0,252.06339,-5.58000000361325e-06,-0.022226107335389947
251.071364,1.0,16.0,3.0,12.0,0.0,1.0,1.0,252.078645,-4.5800000061380075e-06,-0.018241825484080324
251.092503,1.0,13.0,5.0,16.0,0.0,1.0,1.0,252.09977500000002,4.419999971139177e-06,0.01760307423889584
251.092508,1.0,13.0,5.0,16.0,0.0,1.0,1.0,252.09977500000002,9.4199999869371e-06,0.03751605359303313
251.107752,1.0,17.0,2.0,16.0,0.0,1.0,1.0,252.11503000000002,-1.5800000137122794e-06,-0.006292119622465018
251.128882,1.0,14.0,4.0,20.0,0.0,1.0,1.0,252.13616,-1.57999998529057e-06,-0.006291590089946604
251.128886,1.0,14.0,4.0,20.0,0.0,1.0,1.0,252.13616,2.420000004610401e-06,0.009636486041714855
251.165266,1.0,15.0,3.0,24.0,0.0,1.0,1.0,252.172545,-2.580000011187522e-06,-0.010272121031207882
251.165273,1.0,15.0,3.0,24.0,0.0,1.0,1.0,252.172545,4.419999999560886e-06,0.017597974221384045
,,,,,,,,,,
252.051355,1.0,11.0,6.0,11.0,1.0,1.0,1.0,253.058639,-7.579999998563736e-06,-0.03007323645835483
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
252.998996,1.0,10.0,8.0,6.0,0.0,1.0,1.0,254.00627,2.420000004610401e-06,0.009565255368090081
252.999,1.0,10.0,8.0,6.0,0.0,1.0,1.0,254.00627,6.419999994511372e-06,0.025375594348243952
253.014243,1.0,14.0,5.0,6.0,0.0,1.0,1.0,254.02152500000003,-5.58000003203496e-06,-0.02205409452793122
253.035368,1.0,11.0,7.0,10.0,0.0,1.0,1.0,254.042655,-1.0579999990989464e-05,-0.0418123366492761
253.035375,1.0,11.0,7.0,10.0,0.0,1.0,1.0,254.042655,-3.580000008662765e-06,-0.014148219428460408
253.050628,1.0,15.0,4.0,10.0,0.0,1.0,1.0,254.05791,-5.58000000361325e-06,-0.02205092335757116
253.071754,1.0,12.0,6.0,14.0,0.0,1.0,1.0,254.07904000000002,-9.58000002193593e-06,-0.037854876613120286
253.07177,1.0,12.0,6.0,14.0,0.0,1.0,1.0,254.07904000000002,6.419999966089662e-06,0.02536829756274144
253.108145,1.0,13.0,5.0,18.0,0.0,1.0,1.0,254.11542500000002,-3.580000008662765e-06,-0.01414415173665298
253.123392,1.0,17.0,2.0,18.0,0.0,1.0,1.0,254.13068,-1.1580000016886416e-05,-0.04574843883605359
253.144523,1.0,14.0,4.0,22.0,0.0,1.0,1.0,254.15180999999998,-1.0579999990989464e-05,-0.041794307321393095
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
254.067025,1.0,11.0,6.0,13.0,1.0,1.0,1.0,255.074289,1.2420000007784537e-05,0.04888473822128053
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
255.014639,1.0,10.0,8.0,8.0,0.0,1.0,1.0,256.02191999999997,-4.579999977716298e-06,-0.017959753195644187
255.014645,1.0,10.0,8.0,8.0,0.0,1.0,1.0,256.02191999999997,1.4200000355568676e-06,0.005568307794859654
